N;Уровень(см);Объем(м3)
398;398;337.209
399;399;338.064
400;400;338.919
401;401;339.774
402;402;340.629
403;403;341.484
404;404;342.339
405;405;343.194
406;406;344.05
407;407;344.905
408;408;345.76
409;409;346.615
410;410;347.47
411;411;348.326
412;412;349.181
413;413;350.035
414;414;350.891
415;415;351.746
416;416;352.601
417;417;353.457
418;418;354.312
419;419;355.167
420;420;356.022
421;421;356.877
422;422;357.732
423;423;358.587
424;424;359.442
425;425;360.297
426;426;361.152
427;427;362.007
428;428;362.862
429;429;363.717
430;430;364.572
431;431;365.427
432;432;366.281
433;433;367.136
434;434;367.991
435;435;368.845
436;436;369.7
437;437;370.555
438;438;371.41
439;439;372.264
440;440;373.119
441;441;373.973
442;442;374.828
443;443;375.682
444;444;376.537
445;445;377.39
446;446;378.244
447;447;379.098
448;448;379.953
449;449;380.808
450;450;381.663
451;451;382.517
452;452;383.372
453;453;384.227
454;454;385.082
455;455;385.936
456;456;386.79
457;457;387.645
458;458;388.499
459;459;389.354
460;460;390.209
461;461;391.064
462;462;391.918
463;463;392.773
464;464;393.627
465;465;394.482
466;466;395.337
467;467;396.192
468;468;397.047
469;469;397.902
470;470;398.757
471;471;399.612
472;472;400.467
473;473;401.322
474;474;402.177
475;475;403.032
476;476;403.887
477;477;404.742
478;478;405.597
479;479;406.452
480;480;407.307
481;481;408.163
482;482;409.018
483;483;409.873
484;484;410.728
485;485;411.582
486;486;412.437
487;487;413.293
488;488;414.148
489;489;415.003
490;490;415.858
491;491;416.713
492;492;417.568
493;493;418.423
494;494;419.278
495;495;420.134
496;496;420.989
497;497;421.844
498;498;422.699
499;499;423.554
500;500;424.409
501;501;425.265
502;502;426.12
503;503;426.975
504;504;427.831
505;505;428.686
506;506;429.541
507;507;430.397
508;508;431.252
509;509;432.107
510;510;432.963
511;511;433.818
512;512;434.673
513;513;435.529
514;514;436.384
515;515;437.239
516;516;438.095
517;517;438.95
518;518;439.805
519;519;440.66
520;520;441.515
521;521;442.371
522;522;443.226
523;523;444.081
524;524;444.936
525;525;445.792
526;526;446.647
527;527;447.503
528;528;448.358
529;529;449.214
530;530;450.069
531;531;450.925
532;532;451.78
533;533;452.636
534;534;453.492
535;535;454.347
536;536;455.203
537;537;456.058
538;538;456.913
539;539;457.769
540;540;458.624
541;541;459.48
542;542;460.335
543;543;461.19
544;544;462.045
545;545;462.901
546;546;463.756
547;547;464.612
548;548;465.467
549;549;466.322
550;550;467.177
551;551;468.032
552;552;468.888
553;553;469.743
554;554;470.598
555;555;471.454
556;556;472.308
557;557;473.164
558;558;474.019
559;559;474.875
560;560;475.73
561;561;476.584
562;562;477.44
563;563;478.295
564;564;479.151
565;565;480.006
566;566;480.862
567;567;481.717
568;568;482.572
569;569;483.427
570;570;484.282
571;571;485.137
572;572;485.992
573;573;486.847
574;574;487.702
575;575;488.557
576;576;489.412
577;577;490.266
578;578;491.121
579;579;491.976
580;580;492.83
581;581;493.685
582;582;494.539
583;583;495.393
584;584;496.247
585;585;497.101
586;586;497.955
587;587;498.81
588;588;499.664
589;589;500.518
590;590;501.371
591;591;502.225
592;592;503.079
593;593;503.933
594;594;504.787
595;595;505.641
596;596;506.494
597;597;507.348
598;598;508.203
599;599;509.056
600;600;509.91
601;601;510.764
602;602;511.618
603;603;512.472
